institution,cosine_similarity,cluster
NANJING NORMAL UNIVERSITY,0.8899426218836824,0
BEIJING NORMAL UNIVERSITY,0.8676653474721807,1
UNIVERSITY OF VICTORIA,0.858124392666789,0
TECHNICAL UNIVERSITY OF BERLIN,0.845336882012563,0
LANZHOU UNIVERSITY,0.8351765442479754,1
GUANGZHOU UNIVERSITY,0.834240052211137,0
SOUTH CHINA NORMAL UNIVERSITY,0.8329507658422404,0
NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY (NTNU),0.82474498769502,1
SOUTHWEST UNIVERSITY - CHINA,0.8245781373823156,1
UNIVERSITY OF WATERLOO,0.8164001037894151,1
INDIAN INSTITUTE OF TECHNOLOGY SYSTEM (IIT SYSTEM),0.8135164883046274,1
SHANDONG NORMAL UNIVERSITY,0.8107740436078101,0
NORTH CAROLINA STATE UNIVERSITY,0.8066912742697566,1
SHANDONG UNIVERSITY,0.8043776868376329,1
SHANGHAI UNIVERSITY,0.7952283320659337,1
